,HCP_ID,Mean difference from the average map,Hemisphere,Hemi visual area,Visual area,Half
0,100610,26.03426130268314,LH,V1d,V1,dorsal
1,102311,23.973771500452706,LH,V1d,V1,dorsal
2,102816,28.411529171962094,LH,V1d,V1,dorsal
3,104416,32.224541004674315,LH,V1d,V1,dorsal
4,105923,13.202552665093863,LH,V1d,V1,dorsal
5,108323,20.45797054694274,LH,V1d,V1,dorsal
6,109123,22.58390245383648,LH,V1d,V1,dorsal
7,111312,22.422429237954983,LH,V1d,V1,dorsal
8,111514,28.105272403026884,LH,V1d,V1,dorsal
9,114823,21.65872250301865,LH,V1d,V1,dorsal
10,115017,19.488736373249182,LH,V1d,V1,dorsal
11,115825,21.07678201080791,LH,V1d,V1,dorsal
12,116726,20.75648867250854,LH,V1d,V1,dorsal
13,118225,33.74120048784895,LH,V1d,V1,dorsal
14,125525,46.91952148062096,LH,V1d,V1,dorsal
15,126426,18.181360614371965,LH,V1d,V1,dorsal
16,128935,21.387238764829057,LH,V1d,V1,dorsal
17,130114,15.377576278842463,LH,V1d,V1,dorsal
18,130518,23.543855101799696,LH,V1d,V1,dorsal
19,131217,14.615666605928677,LH,V1d,V1,dorsal
20,131722,26.681452041972907,LH,V1d,V1,dorsal
21,132118,15.983248509424243,LH,V1d,V1,dorsal
22,134627,26.06706284143283,LH,V1d,V1,dorsal
23,134829,24.554954720828327,LH,V1d,V1,dorsal
24,135124,19.409400440828833,LH,V1d,V1,dorsal
25,137128,17.410016094424087,LH,V1d,V1,dorsal
26,140117,19.653514754687535,LH,V1d,V1,dorsal
27,144226,26.923856994451274,LH,V1d,V1,dorsal
28,145834,15.36118830148514,LH,V1d,V1,dorsal
29,146129,17.210169917505343,LH,V1d,V1,dorsal
30,146432,13.626871597310695,LH,V1d,V1,dorsal
31,146735,16.55166020667069,LH,V1d,V1,dorsal
32,146937,17.484800595865412,LH,V1d,V1,dorsal
33,148133,30.64967937961014,LH,V1d,V1,dorsal
34,150423,13.640699847105028,LH,V1d,V1,dorsal
35,155938,14.10033140677555,LH,V1d,V1,dorsal
36,156334,24.627562228801008,LH,V1d,V1,dorsal
37,157336,17.667194767860607,LH,V1d,V1,dorsal
38,158035,17.865901264206876,LH,V1d,V1,dorsal
39,158136,22.25672278586126,LH,V1d,V1,dorsal
40,159239,19.798568289539908,LH,V1d,V1,dorsal
41,162935,16.63957075663317,LH,V1d,V1,dorsal
42,164131,29.925363382861395,LH,V1d,V1,dorsal
43,164636,29.748768343722528,LH,V1d,V1,dorsal
44,165436,21.477059602235222,LH,V1d,V1,dorsal
